Column1;listing.city;listing.neighborhood;p3_summary_title;description_locale;listing.extra_host_languages;listing.star_rating 
2199;paris;IV Arrondissement;NOTRE DAME APARTMENT - STUNNING VIEW;en;['de', 'en', 'pl'];50
2200;paris;Le Marais;Like a house in the center of Paris;en;['en'];45
2201;paris;XVI Arrondissement;Duplex- Exceptional view on  the Eiffel Tower;en;['en'];50
2202;paris;III Arrondissement;LUXURY 2 BEDROOM LE MARAIS 1;en;[];50
2203;paris;V Arrondissement;3 pièces tout confort - Quartier Latin;fr;['en'];50
2204;paris;II Arrondissement;Luxury Apartment Paris Louvre;en;['en'];50
2205;paris;Montmartre;Views, 6 rooms, 120m2 : large, bright & beautiful!;en;['de', 'en', 'es'];50
2206;paris;Commerce - Dupleix;Charming Parisian Apartment;en;[];45
2207;paris;Panthéon;quiet and sweet in  heart of Paris;en;['en', 'it'];50
2208;paris;Opéra - Grands Boulevards;42 - Luxury Flat;en;[];45
2209;paris;Châtelet - Les Halles - Beaubourg;Heart of Paris#Louvre#Amazing Flat#;en;['de', 'en', 'es', 'it', 'nl', 'pt'];45
2210;paris;Châtelet - Les Halles - Beaubourg;Le Marais - Pompidou;en;['en'];45
2211;paris;VII Arrondissement;Charming apartment near Orsay museum;en;['en', 'es'];45
2212;paris;V Arrondissement;Paris-Notre Dame ... a Romantic's French Feel;en;['de', 'en'];50
2213;paris;VI Arrondissement;Saint Germain - Beautiful Studio;en;['en'];45
2214;paris;VII Arrondissement;Lovely nest at the bottom at the Eiffel Tower(351);en;['de', 'en', 'es', 'it', 'pt', 'zh'];45
2215;paris;Le Marais;New facing a park Le Marais center free wifi;fr;[];50
2216;paris;VIII Arrondissement;Luxury 2 Bedroom Duplex - Saint Honore View - AC;en;['en', 'es', 'zh'];50
2217;paris;III Arrondissement;New Le Marais free Wifi Cyprés;fr;[];50
2218;paris;Quartier Latin;A BALCONY ON NOTRE DAME : SEVERINE;en;['en'];50
2219;paris;III Arrondissement;Trendy 2-BDR in Le Marais;en;['en', 'es', 'zh'];45
2220;paris;Passy;Loft 5 places view on Eiffel Tower;en;['en', 'ru', 'uk'];45
2221;paris;V Arrondissement;At the foot of Notre Dame, Charming 1 bdrm flat;en;['en'];50
2222;paris;Ternes;☀Elegant suite - wonderful view of Eiffel Tower;en;['en'];50
2223;paris;II Arrondissement;LUXURY 2 BEDROOM APARTMENT MONTORGUEIL 1;en;[];50
2224;paris;Tour Eiffel - Champ de Mars;Luxury 2 bedroom apartment;en;[];50
2225;paris;III Arrondissement;New Central le Marais free wifi;fr;['en'];50
2226;paris;République;FLAT MARAIS HEART OF PARIS;en;['en', 'ru', 'ar'];45
2227;paris;Opéra - Grands Boulevards;21 - Atelier Chaplin Montorgueil;en;[];45
2228;paris;Invalides - Ecole Militaire;"Incredible Lovely nest "" Eiffel Tower"" (351)";en;['de', 'en', 'es', 'it', 'pt', 'ru', 'zh', 'ja'];45
2229;paris;III Arrondissement;2-BDR triplex in Le Marais;en;['en', 'es', 'zh'];45
2230;paris;Saint-Michel;53m2 en el centro de Paris;es;['en', 'es', 'pt'];50
2231;paris;IV Arrondissement;Pedestrian centre Pompidou;en;['en'];50
2232;paris;Le Marais;Charming apartment Marais area;en;['en'];50
2233;paris;Châtelet - Les Halles - Beaubourg;Warm design aptmt  in central Paris;en;['en', 'es'];50
2234;paris;Saint-Paul - Ile Saint-Louis;Charming high ceiling Le Marais St Paul apartment;en;[];50
2235;paris;Saint-Germain-des-Prés - Odéon;Incredible flat in front of Senna river and Louvre;en;['en', 'it'];50
2236;paris;X Arrondissement;Fashion Republique Marais Center;en;['en', 'es', 'pt'];50
2237;paris;Opéra - Grands Boulevards;23 - Pretty Parisian Flat in Montorgueil;en;[];45
2238;paris;Quartier Latin;Amazing Paris apartment;en;['en', 'he'];45
2239;paris;II Arrondissement;Bright Central Duplex w/2 Full Beds;en;['en', 'es', 'zh'];45
2240;paris;VIII Arrondissement;Luxury 2 Bedroom with AC - Louvre & Champs Elysees;en;['en', 'es', 'zh'];50
2241;paris;Gare du Nord - Gare de I'Est;CHABROL;en;['en'];45
2242;paris;Tour Eiffel - Champ de Mars;Magic Direct View Eiffel Tower (55m2);en;[];50
2243;paris;III Arrondissement;LE MARAIS DESIGN BRIGHT QUIET;en;['en', 'es'];50
2244;paris;II Arrondissement;LUXURY 2 BEDROOM APARTMENT MONTORGUEIL 2;en;[];50
2245;paris;III Arrondissement;Large duplex in the Marais.;en;['en'];45
2246;paris;III Arrondissement;Amazing 2-BDR/2-BR Le Marais / Vieille du Temple 2;en;['en', 'es', 'zh'];40
2247;paris;XV Arrondissement;EiffelTower Luxury 90m², 2 Terraces;en;['en'];50
2248;paris;Saint-Germain-des-Prés - Odéon;Designer Smart Home - Saint-Germain-des-Pres;en;['en', 'pl', 'ru', 'uk'];50
2249;paris;Alésia;Artistic Modern Outdoor Space in Montparnasse;en;['en'];45
2250;paris;Saint-Germain-des-Prés - Odéon;Renovated gem in Saint Germain;en;[];50
2251;paris;I Arrondissement;Loft paris1 centre Louvre/Chatelet;en;['en'];50
2252;paris;Quartier Latin;Mouffetard - Pantheon 4: lovely apartment for 4 people;en;[];45
2253;paris;XV Arrondissement;EIFFEL TOWER WONDERFUL VIEW;en;['en'];50
2254;paris;XVI Arrondissement;Duplex Amazing Views-Near Etoile/Champs-Elysées;en;[];45
2255;paris;I Arrondissement;Exclusive High Standing at Louvre;en;['en'];50
2256;paris;Châtelet - Les Halles - Beaubourg;Charming Marais appartment;en;[];50
2257;paris;Palais Royal;CENTER OF PARIS 1st - LOUVRE MUSEUM;en;['en'];45
2258;paris;Champs-Elysées;2 av des Champs Elysées. 360° View;en;[];50
2259;paris;X Arrondissement;Lovely flat in Paris !;en;[];50
2260;paris;IV Arrondissement;Perfect Paris Escape;en;['en', 'es'];50
2261;paris;VI Arrondissement;Splendid Artist Apartment Paris VI;en;['en'];50
2262;paris;V Arrondissement;Romantic Paris near Notre Dame;en;[];45
2263;paris;Le Marais;Chic Benedict - Le Marais / St Paul;en;['en', 'es', 'zh'];45
2264;paris;Le Marais;Brand New Marais Duplex;en;['en'];50
2265;paris;XI Arrondissement;Wagner/bastille near the Marais;en;[];45
2266;paris;République;60sqm 2-BDR apartment - Higher Marais #2;en;['en', 'es', 'zh'];45
2267;paris;Le Marais;Cozy, French-rustic Loft in Le Marais;en;['en', 'es'];50
2268;paris;XVII Arrondissement;Superb 3 rooms - Arc de Triomphe;en;['en'];45
2269;paris;I Arrondissement;House on the Roof;en;['en'];50
2270;paris;VIII Arrondissement;Beautiful Family Apartment next to Champs Elysées;en;['en', 'it', 'he'];45
2271;paris;Le Marais;BRAND NEW 2BR APARTMENT HEART MARAIS MODERN DESIGN;en;[];50
2272;paris;Saint-Germain-des-Prés - Odéon;St-GERMAIN Balcony 2BR FAMILY FLAT;en;['en'];50
2273;paris;Quartier Latin;Best Place in Paris;en;['en', 'es'];45
2274;paris;Saint-Germain-des-Prés - Odéon;PARIS / Saint Germain des Près / 5 Persons;en;['en'];45
2275;paris;Le Marais;Places des Vosges Saint Paul;en;[];50
2276;paris;XVII Arrondissement;HABITER SOUS LES TOITS DE PARIS;fr;[];50
2277;paris;Champs-Elysées;Ch Elysées 6p AC view Tour Eiffel;en;['en', 'es'];50
2278;paris;XI Arrondissement;CHEMIN VERT 2;en;['en'];45
2279;paris;Saint-Paul - Ile Saint-Louis;Heart Marais-3 bedrom apartment;en;['en'];45
2280;paris;IV Arrondissement;Classy Designer  in the Heart of Le Marais;en;['en'];45
2281;paris;XVI Arrondissement;Amazing apartment 6P-  Eiffel Tower view;en;['en', 'es'];50
2282;paris;Champs-Elysées;100m² Duplex 3Bdr-6p Champs-Elysées;en;['en'];50
2283;paris;Saint-Germain-des-Prés - Odéon;Charming flat in Saint Germain;en;[];50
2284;paris;VI Arrondissement;Exactly in Saint Germain des Prés;en;['en', 'es'];50
2285;paris;II Arrondissement;Architect Flat/Loft with terrace 85m2;en;['en'];45
2286;paris;Châtelet - Les Halles - Beaubourg;PENTHOUSE 65m2 MONTORGUEIL-MARAIS;fr;['en', 'es'];50
2287;paris;XVI Arrondissement;"Amazing view ""Eiffel Tower""(1618)";en;[];50
2288;paris;Châtelet - Les Halles - Beaubourg;Sublime chambre avec merveilleuse vue panoramique;fr;[];
2289;paris;Champs-Elysées;Beautiful Flat Champs Elysées !;en;[];45
2290;paris;Le Marais;Countryside in the heart of Marais;en;['de', 'en'];50
2291;paris;Quartier Latin;Beautiful DUPLEX in the heart PARIS;en;[];50
2292;paris;IV Arrondissement;Luxury apartment I - Marais area;en;[];40
2293;paris;VIII Arrondissement;Avenue Montaigne Apartment in the Luxury Heart of Paris;en;['en'];50
2294;paris;Palais Royal;Richelieu ChicSuites;en;['en'];50
2295;paris;V Arrondissement;HCH. RENDEZ-VOUS A NOTRE DAME;en;['de', 'en', 'es', 'ru', 'he'];45
2296;paris;Opéra - Grands Boulevards;Opéra, Luxury  2 bedrooms, balcony;en;[];50
2297;paris;II Arrondissement;4-Suite LILY-ROSE,  Luxury Flat, Heart of Paris;fr;['en'];45
2298;paris;Saint-Michel;42sqm 1BDR - St Michel / Notre Dame;en;['en', 'es', 'zh'];50
2299;paris;II Arrondissement;19 - Atelier Montorgueil;en;[];45
2300;paris;Bastille;Relaxing designers apartment;fr;['en', 'it'];50
2301;paris;II Arrondissement;AMAZING flat- HEART OF PARIS/ OPERA with TERRACE;fr;[];50
2302;paris;Opéra - Grands Boulevards;PARIS CITY FLAT;en;['en'];50
2303;paris;Le Marais;Le Marais Romantique;fr;['en'];50
2304;paris;VI Arrondissement;LUXURY LOFT in Saint-Germain - Amazing View !;en;[];50
2305;paris;Le Marais;Wonderful 2-BDR/2-BR Le Marais / Vieille du Temple;en;['en', 'es', 'zh'];45
2306;paris;République;Apartment near Le Marais;en;[];45
2307;paris;I Arrondissement;Prestige on the Louvre & Tuileries;en;['en'];50
2308;paris;Châtelet - Les Halles - Beaubourg;Trendy 110sqm 2-BDR in Louvre apt 1;en;['en', 'es', 'zh'];45
2309;paris;Bastille;Amazing Loft in Bastille;en;['en', 'es', 'it'];50
2310;paris;XV Arrondissement;Eiffel Garden;en;['en'];50
2311;paris;Port-Royal;LUXEMBOURG GARDEN/3 BEDROOMS/6 PERS/QUAINT & LUXE.;en;['en'];50
2312;paris;IV Arrondissement;Heart of Paris 2 bdr flat;en;['en'];50
2313;paris;Le Marais;Sweet Virtue - Le Marais 2 Bedrooms;en;['en'];50
2314;paris;Châtelet - Les Halles - Beaubourg;Luxury 2 Bedroom 2 Bathroom - AC - Louvre & Marais;en;['en', 'zh'];50
2315;paris;IX Arrondissement;Handsome Duplex 76 m² Montmartre Paris;en;[];50
2316;paris;Le Marais;Luxury one bedroom, Heart of Marais;en;['en', 'it'];45
2317;paris;II Arrondissement;Louvre Opera Private;en;['en'];50
2318;paris;VI Arrondissement;Authentique appartement parisien - Superbe vue;en;[];45
2319;paris;III Arrondissement;White House in trendy Marais distr.;en;[];45
2320;paris;IV Arrondissement;Cosy flat Pompidou Marais;en;[];50
2321;paris;II Arrondissement;New charming apartment, center of Paris - Réaumur;en;['en', 'es'];45
2322;paris;VII Arrondissement;Dans les jardins de la Tour Eiffel;fr;[];50
2323;paris;XVII Arrondissement;3 Bedrooms Pont Cardinet + terrasse;en;['en', 'es'];45
2324;paris;XII Arrondissement;Superbe appart BASTILLE 5 *****;;;
;fr;2.0;[{'beds': [{'id': '2126822/sofa_bed', 'quantity': 1, 'type': 'sofa_bed'}], 'id': 2126822, 'room_number': 0}, {'beds': [{'id': '2126815/queen_bed', 'quantity': 1, 'type': 'queen_bed'}, {'id': '2126815/crib', 'quantity': 1, 'type': 'crib'}], 'id': 2126815, 'room_number': 1}, {'beds': [{'id': '2126819/single_bed', 'quantity': 2, 'type': 'single_bed'}], 'id': 2126819, 'room_number': 2}];{'allows_children': True, 'allows_events': False, 'allows_infants': True, 'allows_pets': False, 'allows_smoking': False, 'person_capacity': 6, 'structured_house_rules': ['No smoking', 'No pets', 'No parties or events', 'Check-in is anytime after 3PM'], 'structured_house_rules_with_tips': [{'key': 'is_smoking_allowed_as_host', 'text': 'No smoking', 'airmoji_key': 'house_rules_no_smoking'}, {'key': 'are_pets_allowed_as_host', 'text': 'No pets', 'airmoji_key': 'house_rules_no_pets'}, {'key': 'are_events_allowed_as_host', 'text': 'No parties or events', 'airmoji_key': 'house_rules_no_party'}, {'key': 'check_in_time', 'text': 'Check-in is anytime after 3PM', 'airmoji_key': 'accomodation_keys'}, {'key': 'check_out_time', 'text': 'Check out by 11AM', 'airmoji_key': 'accomodation_keys'}]};48.8505;11250
2325;paris;Palais Royal;Luxury apartment facing the louvre museum;en;[];40
2326;paris;III Arrondissement;Le Marais    Cosy & Elegant;en;['en', 'es', 'it', 'pt'];50
2327;paris;Saint-Germain-des-Prés - Odéon;Arty Chic Apartment Heart of Paris - Nesle;en;['en', 'es'];50
2328;paris;XI Arrondissement;Cosy appart Paris center 2BDR/7Pers;fr;[];45
2329;paris;Palais Royal;Beautiful, facing the Louvre museum;en;['en', 'es'];50
2330;paris;Châtelet - Les Halles - Beaubourg;Trendy 120sqm 2-BDR in Louvre apt 2;en;['en', 'es', 'zh'];45
2331;paris;VII Arrondissement;Eiffel Tower at your footsteps;en;['en', 'it', 'pl'];50
2332;paris;Saint-Lazare;Beautiful XIX c. Style Apartment;en;['en', 'pl'];50
2333;paris;VIII Arrondissement;Champs-Elysées, charmant loft;fr;[];50
2334;paris;Châtelet - Les Halles - Beaubourg;Atelier of artist at Marais district, Paris Center;en;['en', 'es', 'pt'];50
2335;paris;VIII Arrondissement;Luxurious 175m² 3BD renovated Opéra/ChampsElysées;en;['en', 'es', 'el', 'ru'];50
2336;paris;VII Arrondissement;Gorgeous 3BR flat at Eiffel Tower;en;[];50
2337;paris;Châtelet - Les Halles - Beaubourg;Marais Very charming flat (8 persons);en;['en'];50
2338;paris;Opéra - Grands Boulevards;Huge hyper central family flat 3BR;en;['en', 'es'];50
2339;paris;IX Arrondissement;PARIS Opéra Luxe Galeries Lafayette;fr;['en', 'it'];50
2340;paris;I Arrondissement;STUDIO St Honoré/Louvre - Serviced Apartment | HS3;en;['en', 'zh'];50
2341;paris;Châtelet - Les Halles - Beaubourg;Unique Apt in the Marais/Beaubourg;en;['de', 'en'];50
2342;paris;IX Arrondissement;Stylish Haussmann Apartment - Paris Centre;en;['en', 'it', 'he'];45
2343;paris;I Arrondissement;Charming new apartment near Louvre Museum;en;['en', 'es'];45
2344;paris;Le Marais;Historic Marais, rue des Rosiers;en;['en', 'es', 'it'];45
2345;paris;Châtelet - Les Halles - Beaubourg;Louvre - Rivoli: Trendy Rooftop;en;[];50
2346;paris;II Arrondissement;♥ Comfy 90m² at Opéra. 2br&2b ♥;en;['en'];45
2347;paris;III Arrondissement;An authentic 45m2 bookstore in Le Marais Paris;en;['en'];50
2348;paris;Saint-Lazare;Modern & Colorful Duplex in Republique;en;['en', 'es', 'it', 'zh', 'ja'];40
2349;paris;VII Arrondissement;Near Eiffel Tower, stonish vue;en;['en', 'es'];45
2350;paris;Invalides - Ecole Militaire;Beautiful Typical Parisian Apartment in the 7th;en;[];50
2351;paris;Saint-Germain-des-Prés - Odéon;SPACIOUS FLAT IN ST GERMAIN;en;['en', 'it'];45
2352;paris;VII Arrondissement;Luxury Designer Flat by Eiffel;en;['en', 'zh'];45
2353;paris;Passy;Cosy apartm, balcony, Tour Eiffel, Arc de Triumph;en;['en', 'es'];50
2354;paris;XV Arrondissement;Charm and luxury with Eiffel Tower view;en;['en', 'es', 'it', 'pt'];50
2355;paris;Le Marais;Apartment Gustave, Le Marais, Spa 4**** access;en;[];45
2356;paris;III Arrondissement;Modern flat in the heart of Marais! 454;en;['en', 'it'];45
2357;paris;VI Arrondissement;Paris with a (breathtaking) view;en;[];50
2358;paris;VI Arrondissement;St Germain - Quartier Latin 2 : appt. cosy pour 4;en;[];45
2359;paris;X Arrondissement;Design apartment 88m2 in the trendy 10th district;en;['de', 'en'];50
2360;paris;II Arrondissement;Crazy discount #6;en;[];45
2361;paris;Madeleine - Vendôme;Charming Apt at the High Fashion Neighborhood;en;[];50
2362;paris;Le Marais;Magnifique loft d'artiste au cœur du Marais;fr;['en', 'es'];50
2363;paris;République;LARGE and LUXURIOUS penthouse , Haut Marais;fr;['en'];50
2364;paris;III Arrondissement;Luxury flat for 5 persons - Marais;en;['en', 'es'];50
2365;paris;IV Arrondissement;Show Room, 2BR/2BA, 6 people;en;['da', 'de', 'en', 'es', 'nl', 'pt'];45
2366;paris;Panthéon;Romantic dupleix in Center paris;en;['en', 'es'];50
2367;paris;II Arrondissement;Gorgeous apartment in Paris Montorgueil;en;['en'];45
2368;paris;VII Arrondissement;Beautiful apartment in front of Orsay museum;en;['en', 'es'];45
2369;paris;Invalides - Ecole Militaire;EIFFEL TOWER2g LUXURY STAINED-WINDOW CLASSIC 3ROOM;fr;['en'];50
2370;paris;IX Arrondissement;3 bedrooms Place de la Madeleine;en;['en', 'es'];45
2371;paris;II Arrondissement;HEART OF PARIS = MONTORGUEIL Area. MODERN, BRIGHT.;en;['en', 'it'];50
2372;paris;IV Arrondissement;Marais Chic 2 Bed 2 Bath, AC in the bedrooms!;en;['en'];50
2373;paris;VI Arrondissement;Amazing flat in the heart of st germain des pres;en;['en', 'es', 'pt'];50
2374;paris;III Arrondissement;Show Room, 2BR/2BA for 6 people;en;['da', 'en', 'es', 'nl', 'no', 'pt'];45
2375;paris;République;Paris Republique Beaurepaire;en;['en', 'es', 'it'];50
2376;paris;République;MODERN AND COSY LOFT CLOSE TO CANAL ST MARTIN;en;['en'];50
2377;paris;Saint-Germain-des-Prés - Odéon;Beautiful flat in St Germain;en;['en'];50
2378;paris;III Arrondissement;Large and comfortable apt with 2 bedrooms;en;[];45
2379;paris;III Arrondissement;Beautiful Apartment in the Heart of the Marais;en;['en', 'es'];50
2380;paris;Quartier Latin;NOTRE DAME:bright, elegant apt 2 BR;en;['en'];50
2381;paris;XI Arrondissement;CHEMIN VERT 3;en;['en'];45
2382;paris;Champs-Elysées;Appartement Champs Elysées - George V;fr;[];50
2383;paris;XI Arrondissement;CHEMIN VERT 1;en;['en'];50
2384;paris;Montmartre;APPARTEMENT MONTMARTRE JARDIN & TERRASSE;fr;['en'];50
2385;paris;VI Arrondissement;St Germain luxurious Art Deco Loft;en;[];50
2386;paris;III Arrondissement;Mid-Modern Designer 2BR Flat in the Marais;en;[];50
2387;paris;XV Arrondissement;*AMAZING 1000sqf NEAR EIFFEL TOWER*;en;[];50
2388;paris;II Arrondissement;CENTER / PARIS / 3 BR-2 BA / 130sqm;en;['en', 'es', 'zh'];45
2389;paris;III Arrondissement;Charming Triplex in Trendy Marais;en;[];50
2390;paris;III Arrondissement;Stylish Central Paris Marais Loft;en;['en', 'sv'];45
2391;paris;XI Arrondissement;Amazing and modern apartment - Nation/Bastille;en;['en', 'es'];45
2392;paris;République;Apartment 3 chambres near le marais;en;[];45
2393;paris;V Arrondissement;Bright 2 bedroom by Notre-Dame;en;['en', 'es'];50
2394;paris;Port-Royal;AMAZING MANSION IN THE HEART OF THE LATIN QUARTER;en;[];50
2395;paris;XV Arrondissement;Luxurious Panoramic View Eiffel Tower & Monuments;en;[];50
2396;paris;VIII Arrondissement;Ave Montaigne UltraModern PH;en;[];50
2397;paris;IV Arrondissement;Classic Parisian Style in Marais;en;['en'];40
2398;paris;Saint-Germain-des-Prés - Odéon;Luxury 1BR center of St. Germain!;en;['en', 'he'];50
2399;paris;III Arrondissement;Heidi, 2BR/2BA, 6 people;en;['da', 'en', 'es', 'nl', 'no', 'pt'];45
2400;paris;Palais Royal;Luxury Duplex facing the louvre museum;en;[];45
2401;paris;XI Arrondissement;Sur les toits de Paris, 86m2 lumineux et atypique;fr;['en'];50
2402;paris;Saint-Germain-des-Prés - Odéon;2 Bedroom Loft Saint-Germain;en;[];50
2403;paris;III Arrondissement;Golden Brac, 2BR/2BA for 4 people;en;['da', 'en', 'es', 'nl', 'no', 'pt'];45
2404;paris;XI Arrondissement;Find Peace in a Secluded Terrace Garden Oasis;en;['en', 'es', 'it'];50
2405;paris;VIII Arrondissement;EXCLUSIVE & MODERN 2 BDR 2 BTH -CONCORDE/MADELEINE;en;['en', 'es'];45
2406;paris;Monceau;Luxury Apartment on Monceau Park;en;['en'];50
2407;paris;II Arrondissement;Opulent Luxury Family Abode in Opera;en;['en', 'es', 'it', 'zh', 'ja'];45
2408;paris;Opéra - Grands Boulevards;OPERA/LOUVRE LUXURY 2BD/2BTH APT WITH ELEVATOR;en;[];50
2409;paris;Châtelet - Les Halles - Beaubourg;Gorgeous 4 bedr, heart of Paris !;en;['en', 'es', 'it'];45
2410;paris;XVIII Arrondissement;Montmartre - Remodeled 3 bedrooms apart  A/C Tube;en;['en'];50
2411;paris;XVI Arrondissement;Duplex 160m2 next to Champs Elysées;en;['en', 'es'];50
2412;paris;III Arrondissement;2 BR- Artist Workshop, Marais by Rue De Bretagne;en;['en'];45
2413;paris;Le Marais;LUXURY 3 BEDROOM LE MARAIS 1;en;[];50
2414;paris;III Arrondissement;NEW central le marais safe and quiet / gobelins;fr;[];50
2415;paris;VI Arrondissement;★★★★★ Rare jewel in St-Germain-des-Prés;en;['en'];50
2416;paris;I Arrondissement;Penthouse Dauphine;en;['de', 'en', 'it', 'nl'];50
2417;paris;Tour Eiffel - Champ de Mars;Modern Loft near Eiffel Tower;en;[];45
2418;paris;VII Arrondissement;Penthouse w the best view of Paris;en;['en', 'es'];50
2419;paris;Saint-Germain-des-Prés - Odéon;Cosy & Central Apt - Saint Germain;en;[];50
2420;paris;IV Arrondissement;Romantic Saint Louis Island Paris;en;[];50
2421;paris;Opéra - Grands Boulevards;LUXURY 3 BEDROOM LE LOUVRE;en;[];50
2422;paris;II Arrondissement;Fantastic apartment for 8 people with AC;en;['en', 'es'];50
2423;paris;V Arrondissement;"""Home sweet Home"" Duplex in Mansion";en;['en'];50
2424;paris;III Arrondissement;Modern Marais Apartment;en;['en'];50
2425;paris;Louvre - Tuileries;Apartment for 8 people in the heart of Paris !;en;[];45
2426;paris;II Arrondissement;Center paris - Family flat - 100 Sqm - 2 BR - LIFT;en;['en', 'es', 'zh'];50
2427;paris;III Arrondissement;Buckingham, 2BR/2BA, 6 people;en;['en', 'es'];50
2428;paris;II Arrondissement;Magnifique Loft Paris Grand Rex 180m2 Paris 10eme;fr;[];45
2429;paris;Saint-Michel;64sqm 2BDR - St Michel / Notre Dame;en;['en', 'es', 'zh'];45
2430;paris;III Arrondissement;Apt in the Marais quiet;en;[];50
2431;paris;II Arrondissement;14 - Luxury Flat Eiffel Design 1;en;['en', 'es'];45
2432;paris;Saint-Lazare;Appartement moderne et spacieux proche de Saint-Augustin;en;['en', 'es'];50
2433;paris;Louvre - Tuileries;Alongside Louvre Luxury apartment central Paris;en;[];50
2434;paris;II Arrondissement;Luxurious DUPLEX with terrace - Montorgueil;en;[];50
2435;paris;Champs-Elysées;Appartement Champs Elysées - Lincoln;fr;[];45
2436;paris;Le Marais;Central Le Marais 85m2 with elevator freewifi;fr;[];50
2437;paris;Le Marais;Place des Vosges  , enjoy countryside in Paris;en;[];50
2438;paris;VIII Arrondissement;Luxury Apartment on Champs-Elysées.;en;['en', 'es'];50
2439;paris;Saint-Germain-des-Prés - Odéon;Unwind at a Chic City Sanctuary with Sunny Yellow Accents;en;[];50
2440;paris;Invalides - Ecole Militaire;Magnifique appartement près de la tour Eiffel;fr;['en'];45
2441;paris;XVII Arrondissement;142yd Champs Elysée-Arc de triomphe;en;[];45
2442;paris;Saint-Michel;Charming, 1 400 ft²  heart of Paris;en;['en', 'es'];50
2443;paris;IV Arrondissement;TYPICAL PARISIAN FLAT IN ILE SAINT LOUIS;fr;[];50
2444;paris;Saint-Germain-des-Prés - Odéon;Saint Germain Elegant Suite;en;['en'];45
2445;paris;Palais Royal;Stunning Renovated Flat Steps from the Louvre w/AC;en;['en', 'es'];50
2446;paris;Louvre - Tuileries;Historical Flat Facing Louvre & Tuileries, 95m2;en;['en', 'ko'];50
2447;paris;Palais Royal;Belle appartement parisien;fr;[];45
2448;paris;XV Arrondissement;Fabulous 2 beds Eiffel Tower View;en;['en', 'es'];50
2449;paris;VII Arrondissement;Vue exceptionnelle au pied de la Tour Eiffel;fr;['de', 'en', 'it'];50
2450;paris;VIII Arrondissement;Champs-Élysées - Rue de Cirque 2;en;['de', 'en', 'it', 'pt'];45
2451;paris;Quartier Latin;Stylish 2-BDR in St-Michel / Odéon;en;['en', 'es', 'zh'];45
2452;paris;XVII Arrondissement;Paris view, Etoile, with 50 m2 terrace - 7th floor;en;['en', 'es'];50
2453;paris;II Arrondissement;Charm in the Heart of Paris;en;['en'];50
2454;paris;VII Arrondissement;2-BEDROOM LUXURY HAUSSMANN-STYLE RESIDENCE WITH TERRACE & VIEW;en;['en'];45
2455;paris;X Arrondissement;Sunny & Modern Artistic in Opera;en;['en'];45
2456;paris;Madeleine - Vendôme;Beautiful 2 bedrooms apartment Fbg Saint Honoré;en;['en', 'es'];45
2457;paris;I Arrondissement;Superb 2BR apart. in front of the Louvre;en;['en', 'es'];50
2458;paris;Opéra - Grands Boulevards;Amazing Glass Roof/ center of Paris;en;['en'];50
2459;paris;Saint-Germain-des-Prés - Odéon;Luxury on River Seine Saint Germain;en;['en', 'es'];50
2460;paris;VI Arrondissement;GORGEOUS FLAT IN ST GERMAIN DES PRES 130M2  8 PERS;en;[];50
2461;paris;Opéra - Grands Boulevards;LUXURY 4 BEDROOM PARIS CENTER;en;[];50
2462;paris;VIII Arrondissement;Trendy 82sqm 2-BDR - Champs Elysées;en;['en', 'es', 'zh'];45
2463;paris;Le Marais;"MARAIS ""Coeur de la Cour"" 2 bedrooms 6 person";en;[];45
2464;paris;Tour Eiffel - Champ de Mars;Stunning 2BR at Eiffel Tower Feet;en;[];50
2465;paris;Champs-Elysées;Fantastic Chic apartment in Champs-Élysées;en;['en'];45
2466;paris;Le Marais;Théière de Luxe au Centre du Marais;en;['de', 'en', 'it'];50
2467;paris;Quartier Latin;Paris 5 Star Luxury on the Ile Saint-Louis;en;['en', 'es', 'ar'];50
2468;paris;Batignolles;Beautiful apartment Paris center NW;en;['de', 'en'];50
2469;paris;VIII Arrondissement;Luxury flat two steps away from Champs Élysées;en;[];50
2470;paris;II Arrondissement;Central Paris spacious family flat with balcony;en;[];50
2471;paris;Châtelet - Les Halles - Beaubourg;Stylish Marais 3 Bedroom - Sleeps 6!;en;[];45
2472;paris;XV Arrondissement;PARC DES EXPOS DUPLEX POSS PARKING PARIS 15;fr;['en', 'es', 'it'];50
2473;paris;Saint-Germain-des-Prés - Odéon;Space, design and silence for friends and families;en;['en', 'es'];45
2474;paris;II Arrondissement;8-Suite KIMBERLEY, Beautiful 3BDR,  Best Location;fr;['en'];45
2475;paris;I Arrondissement;Elegance & Style - Paris Center;en;['en', 'es'];50
2476;paris;IX Arrondissement;welcome;en;[];50
2477;paris;IV Arrondissement;Amazing apartment Saint-Paul / Marais;en;['en', 'es', 'pt'];45
2478;paris;IV Arrondissement;Hôtel de Ville - Marais 6: cosy apartment for 6;en;[];40
2479;paris;Port-Royal;LUXURY LOFT in Saint-Germain des près;en;['de', 'en', 'es', 'hi', 'it', 'nl', 'pl', 'pt', 'sv', 'zh', 'ja', 'ko'];50
2480;paris;IX Arrondissement;Le Celeste, 2 balconies with a view on Montmartre;en;[];50
2481;paris;Panthéon;Paris - Latin Quarter - Cuvier;en;['en'];50
2482;paris;II Arrondissement;apartmt with terrasse center Paris;en;['en', 'es'];45
2483;paris;XVI Arrondissement;paris  prestige;fr;[];
