Column1;listing.city;listing.neighborhood;p3_summary_title;description_locale;listing.extra_host_languages;listing.star_rating
168;barcelona;La Sagrada Família;3 bedrooms, central, bright, Sagrada Familia, AC;en;['en', 'fr', 'ru'];50
169;barcelona;Sant Martí;Modern apartment near the beach;en;['en'];50
170;barcelona;Eixample;Design&Centric in Sagrada Familia;en;['en', 'fr'];50
171;barcelona;Sants-Montjuïc;Apartamento nuevo junto a Plaça Espanya y la Fira;es;['en', 'fr'];45
172;barcelona;El Poble-sec;Standard studio in Paral Lel;en;['en', 'fr', 'it'];45
173;barcelona;Ciutat Vella;Barceloneta Beach & Sight Apartment;en;['de', 'en'];50
174;barcelona;Eixample;Beautiful apartment in the center;en;['en'];45
175;barcelona;Sants-Montjuïc;Poble Sec, feel like at home!;en;['en', 'fr'];45
176;barcelona;Sants-Montjuïc;BARCELONA FIFTEEN LUXURY STUDIO;en;['en', 'fr', 'it'];45
177;barcelona;La Sagrada Família;Cozy Apartment Sagrada Familia;en;['en', 'it'];50
178;barcelona;Eixample;SAGRADA FAMILIA VIEW STUDIO-LOFT;en;['en', 'pl'];50
179;barcelona;Sants-Montjuïc;Atic with great views;en;['en'];50
180;barcelona;Eixample;Gaudí's Mansard (Sag. Familia) WIFI;en;['en'];50
181;barcelona;Eixample;PLAZA CATALUÑA/LAS RAMBLAS DESIGN AP;en;['en', 'fr', 'it'];50
182;barcelona;Eixample;Stylish loft II in the heart of BCN;en;['en'];50
183;barcelona;El Gòtic;Stylish and quiet next to Plaça Catalunya!;en;['en'];45
184;barcelona;Vila de Gràcia;Gracia : Cosy & modern apartment with AC & WIFI !!;en;['de', 'en', 'fr'];50
185;barcelona;Sant Pere/Santa Caterina;FANTASTIC20m2TerraceVIEW-@800m BEACH/BORN/GOTIC;en;['de', 'en', 'fr', 'it'];50
186;barcelona;Dreta de l'Eixample;Cozy apartment  perfect situation - metro & WIFI;en;['en'];50
187;barcelona;Eixample;Penthouse Barcelona, very central;en;[];50
188;barcelona;Camp d'en Grassot i Gràcia Nova;Design&Balcony in Sagrada Familia;en;['en', 'fr'];50
189;barcelona;Dreta de l'Eixample;Fantastic penthouse in Bcn Center;en;['en', 'it'];50
190;barcelona;Sants-Montjuïc;DESIGN APARTMENT IN BARCELONA;en;['de', 'en', 'fr'];50
191;barcelona;El Poblenou;BacRou, design loft near the sea;en;['en'];50
192;barcelona;Sant Antoni;Modernist&Chic Eixample apartment;en;['en', 'fr'];50
193;barcelona;Sant Martí;Lugaris Beach Business Apartment;en;['en', 'fr', 'it'];50
194;barcelona;Dreta de l'Eixample;Amazing apartment WIFI in center;en;['en'];45
195;barcelona;L'Antiga Esquerra de l'Eixample;Romantic apartment;en;['en'];50
196;barcelona;Sant Antoni;Sunny, central, AC, charming flat with balcony 3;en;['en', 'it'];45
197;barcelona;Eixample;Studio & terrace / magical views;en;['en'];50
198;barcelona;Eixample;Unique Luxury Designer Apartment;en;['en', 'ru'];50
199;barcelona;Sant Martí;Near the beach, 2-bedroom, 2-bathroom, pool, AC;en;['en', 'fr', 'ru'];45
200;barcelona;Dreta de l'Eixample;Studio with Catalan Design Near Sagrada Familia;en;['de', 'en', 'fr', 'it', 'pt'];45
201;barcelona;Sants-Montjuïc;PENTHOUSE TOP VIEWS BARCELONA APARTMENT;en;['en'];45
202;barcelona;Sant Martí;Private Terrace in Poblenou;en;['en', 'fr'];45
203;barcelona;Sant Antoni;Rural Chic Inspired Apartment with Terrace;en;['en', 'fr'];50
204;barcelona;Sants-Montjuïc;Apartament Barcelona Centre - Flat;en;['en', 'fr', 'it'];45
205;barcelona;Vila de Gràcia;Lovely duplex penthouse in the Gracia.;en;['en', 'it'];50
206;barcelona;Eixample;Penthouse with private terrace;en;['en'];50
207;barcelona;Eixample;Bohemian Flat with Rooftop Terrace near La Pedrera;en;['de', 'en', 'fr', 'it', 'pt'];45
208;barcelona;Sant Gervasi - Galvany;Apartment-terrace with amazing view HUTB-009273;en;['en', 'fr'];50
209;barcelona;El Poblenou;Bohemian-Inspired Loft by the Beach;en;['de', 'en', 'fr', 'it', 'pt'];45
210;barcelona;L'Antiga Esquerra de l'Eixample;Classy&Central Eixample apartment;en;['en', 'fr'];50
211;barcelona;Eixample;Modernist apartment, chic and calm;en;['en', 'fr'];50
212;barcelona;Eixample;Pool, garden, central, stylish, AC;en;['en', 'fr', 'ru'];50
213;barcelona;La Sagrada Família;Nice Apartment in Sagrada Familia;en;['en'];50
214;barcelona;Dreta de l'Eixample;New flat in Center -Paseo de Gracia;en;['en', 'fr'];50
215;barcelona;Eixample;Gaudí Views- Suite with View in BCN;en;['en', 'fr', 'it'];50
216;barcelona;Eixample;Descubre el art nouveau a través de este piso cercano a la Plaza de España;es;['en', 'fr'];50
217;barcelona;Sants-Montjuïc;Quiet family apartment in the center;en;['en'];45
218;barcelona;Eixample;Bcn Turistica Piso  Sagrada Familia;es;['en', 'pl', 'ru'];50
219;barcelona;Sants-Montjuïc;Sophisticated Flat in Trendy Poble Sec;en;[];50
220;barcelona;Eixample;Vintage Concept Flat in Chic Neighbourhood;en;['de', 'en', 'fr', 'it', 'nl'];50
